time,temperature,date,hour,latitude,longitude
2026-03-08 00:00:00,0.2,2026-03-08,0,55.008785,83.00797
2026-03-08 01:00:00,0.2,2026-03-08,1,55.008785,83.00797
2026-03-08 02:00:00,0.3,2026-03-08,2,55.008785,83.00797
2026-03-08 03:00:00,0.2,2026-03-08,3,55.008785,83.00797
2026-03-08 04:00:00,-0.1,2026-03-08,4,55.008785,83.00797
2026-03-08 05:00:00,-0.4,2026-03-08,5,55.008785,83.00797
2026-03-08 06:00:00,-0.9,2026-03-08,6,55.008785,83.00797
2026-03-08 07:00:00,-1.2,2026-03-08,7,55.008785,83.00797
2026-03-08 08:00:00,-1.5,2026-03-08,8,55.008785,83.00797
2026-03-08 09:00:00,-1.5,2026-03-08,9,55.008785,83.00797
2026-03-08 10:00:00,-1.4,2026-03-08,10,55.008785,83.00797
2026-03-08 11:00:00,-1.1,2026-03-08,11,55.008785,83.00797
2026-03-08 12:00:00,-0.8,2026-03-08,12,55.008785,83.00797
2026-03-08 13:00:00,-0.3,2026-03-08,13,55.008785,83.00797
2026-03-08 14:00:00,-0.2,2026-03-08,14,55.008785,83.00797
2026-03-08 15:00:00,0.3,2026-03-08,15,55.008785,83.00797
2026-03-08 16:00:00,0.4,2026-03-08,16,55.008785,83.00797
2026-03-08 17:00:00,0.2,2026-03-08,17,55.008785,83.00797
2026-03-08 18:00:00,-0.3,2026-03-08,18,55.008785,83.00797
2026-03-08 19:00:00,-0.7,2026-03-08,19,55.008785,83.00797
2026-03-08 20:00:00,-0.8,2026-03-08,20,55.008785,83.00797
2026-03-08 21:00:00,-0.8,2026-03-08,21,55.008785,83.00797
2026-03-08 22:00:00,-0.9,2026-03-08,22,55.008785,83.00797
2026-03-08 23:00:00,-0.8,2026-03-08,23,55.008785,83.00797
2026-03-09 00:00:00,-0.8,2026-03-09,0,55.008785,83.00797
2026-03-09 01:00:00,-0.6,2026-03-09,1,55.008785,83.00797
2026-03-09 02:00:00,-0.3,2026-03-09,2,55.008785,83.00797
2026-03-09 03:00:00,0.2,2026-03-09,3,55.008785,83.00797
2026-03-09 04:00:00,0.6,2026-03-09,4,55.008785,83.00797
2026-03-09 05:00:00,0.8,2026-03-09,5,55.008785,83.00797
2026-03-09 06:00:00,-0.2,2026-03-09,6,55.008785,83.00797
2026-03-09 07:00:00,-2.7,2026-03-09,7,55.008785,83.00797
2026-03-09 08:00:00,-3.1,2026-03-09,8,55.008785,83.00797
2026-03-09 09:00:00,-2.9,2026-03-09,9,55.008785,83.00797
2026-03-09 10:00:00,-2.3,2026-03-09,10,55.008785,83.00797
2026-03-09 11:00:00,-1.9,2026-03-09,11,55.008785,83.00797
2026-03-09 12:00:00,-1.6,2026-03-09,12,55.008785,83.00797
2026-03-09 13:00:00,-1.2,2026-03-09,13,55.008785,83.00797
2026-03-09 14:00:00,-1.0,2026-03-09,14,55.008785,83.00797
2026-03-09 15:00:00,-0.8,2026-03-09,15,55.008785,83.00797
2026-03-09 16:00:00,-0.7,2026-03-09,16,55.008785,83.00797
2026-03-09 17:00:00,-0.6,2026-03-09,17,55.008785,83.00797
2026-03-09 18:00:00,-0.8,2026-03-09,18,55.008785,83.00797
2026-03-09 19:00:00,-1.4,2026-03-09,19,55.008785,83.00797
2026-03-09 20:00:00,-2.2,2026-03-09,20,55.008785,83.00797
2026-03-09 21:00:00,-2.8,2026-03-09,21,55.008785,83.00797
2026-03-09 22:00:00,-3.0,2026-03-09,22,55.008785,83.00797
2026-03-09 23:00:00,-4.1,2026-03-09,23,55.008785,83.00797
